2	0	11	0
2	0	13	0
2	0	15	0
2	0	17	0
2	0	19	0
2	0	21	0
2	0	23	0
2	0	25	0
2	0	27	0
2	0	29	0
3	0	11	0
3	0	13	0
3	0	15	0
3	0	17	0
3	0	19	0
3	0	21	0
3	0	23	0
3	0	25	0
3	0	27	0
3	0	29	0
4	0	11	0
4	0	13	0
4	0	15	0
4	0	17	0
4	0	19	0
4	0	21	0
4	0	23	0
4	0	25	0
4	0	27	0
4	0	29	0
5	0	11	0
5	0	13	0
5	0	15	0
5	0	17	0
5	0	19	0
5	0	21	0
5	0	23	0
5	0	25	0
5	0	27	0
5	0	29	0
6	0	11	0
6	0	13	0
6	0	15	0
6	0	17	0
6	0	19	0
6	0	21	0
6	0	23	0
6	0	25	0
6	0	27	0
6	0	29	0
7	0	11	0
7	0	13	0
7	0	15	0
7	0	17	0
7	0	19	0
7	0	21	0
7	0	23	0
7	0	25	0
7	0	27	0
7	0	29	0
8	0	11	0
8	0	13	0
8	0	15	0
8	0	17	0
8	0	19	0
8	0	21	0
8	0	23	0
8	0	25	0
8	0	27	0
8	0	29	0
9	0	11	0
9	0	13	0
9	0	15	0
9	0	17	0
9	0	19	0
9	0	21	0
9	0	23	0
9	0	25	0
9	0	27	0
9	0	29	0
10	0	11	0
10	0	13	0
10	0	15	0
10	0	17	0
10	0	19	0
10	0	21	0
10	0	23	0
10	0	25	0
10	0	27	0
10	0	29	0
